affordability_band,age_band,party_affiliation,voters
5: high pressure,55-64,REP,130784
5: high pressure,65-74,AMF,180
5: high pressure,65-74,ASP,84
5: high pressure,65-74,BPP,160
5: high pressure,65-74,CPF,149
5: high pressure,65-74,CPP,94
5: high pressure,65-74,CSV,392
5: high pressure,65-74,DEM,132373
5: high pressure,65-74,ECO,49
5: high pressure,65-74,FFP,16
5: high pressure,65-74,GRE,71
5: high pressure,65-74,IND,4845
5: high pressure,65-74,LPF,172
5: high pressure,65-74,NPA,77674
5: high pressure,65-74,REP,104014
5: high pressure,75+,AMF,62
5: high pressure,75+,ASP,36
5: high pressure,75+,BPP,89
5: high pressure,75+,CPF,66
5: high pressure,75+,CPP,45
5: high pressure,75+,CSV,155
5: high pressure,75+,DEM,114292
5: high pressure,75+,ECO,15
5: high pressure,75+,GRE,32
5: high pressure,75+,IND,2743
5: high pressure,75+,LPF,58
5: high pressure,75+,NPA,57594
5: high pressure,75+,REP,106024
5: high pressure,unknown,DEM,13
unknown,18-24,AMF,195
unknown,18-24,ASP,106
unknown,18-24,BPP,94
unknown,18-24,CPF,262
unknown,18-24,CPP,73
unknown,18-24,CSV,413
unknown,18-24,DEM,21896
unknown,18-24,ECO,53
unknown,18-24,FFP,20
unknown,18-24,GRE,152
unknown,18-24,IND,2712
unknown,18-24,LPF,205
unknown,18-24,NPA,26671
unknown,18-24,PSL,40
unknown,18-24,REP,26573
unknown,25-34,AMF,212
unknown,25-34,ASP,105
unknown,25-34,BPP,205
unknown,25-34,CPF,349
unknown,25-34,CPP,100
unknown,25-34,CSV,672
unknown,25-34,DEM,97971
unknown,25-34,ECO,101
unknown,25-34,FFP,24
unknown,25-34,GRE,316
unknown,25-34,IND,6754
unknown,25-34,LPF,1319
unknown,25-34,NPA,103433
unknown,25-34,PSL,98
unknown,25-34,REP,81393
unknown,35-44,AMF,167
unknown,35-44,ASP,81
unknown,35-44,BPP,149
unknown,35-44,CPF,307
unknown,35-44,CPP,101
unknown,35-44,CSV,597
unknown,35-44,DEM,120061
unknown,35-44,ECO,62
unknown,35-44,FFP,17
unknown,35-44,GRE,293
unknown,35-44,IND,5527
unknown,35-44,LPF,1530
unknown,35-44,NPA,113674
unknown,35-44,PSL,44
unknown,35-44,REP,99284
unknown,45-54,AMF,142
unknown,45-54,ASP,48
