county_code,party_affiliation,voters,new_in_april,new_in_may,missing_after_march,missing_after_april,zip_changed_mar_apr,zip_changed_apr_may,county_changed_mar_apr,county_changed_apr_may,party_changed_mar_apr,party_changed_apr_may,status_changed_mar_apr,status_changed_apr_may
SEM,REP,127625,307,247,174,150,1303,825,377,439,270,241,329,664
SEM,WPF,1,0,0,0,0,0,1,0,1,0,1,0,0
STJ,AMF,278,5,10,0,0,10,12,5,4,17,25,7,1
STJ,ASP,101,3,1,0,0,2,1,1,0,2,2,0,1
STJ,BPP,93,2,3,0,1,2,0,2,0,4,1,1,1
STJ,CPF,261,2,1,0,0,1,3,0,1,0,2,0,4
STJ,CPP,131,0,2,0,0,1,3,1,4,4,5,0,0
STJ,CSV,774,7,5,0,0,15,4,4,3,4,6,2,0
STJ,DEM,54852,199,216,98,86,516,248,189,121,199,111,168,94
STJ,ECO,77,0,0,0,0,2,1,0,0,2,1,1,0
STJ,FFP,32,1,1,0,0,0,1,0,0,0,1,1,0
STJ,GRE,161,1,2,0,0,1,0,0,0,2,1,1,0
STJ,IND,5532,27,27,12,10,71,48,34,31,88,56,16,15
STJ,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
STJ,LPF,913,4,1,0,1,9,5,4,4,12,2,5,3
STJ,MGT,3,0,0,0,0,0,0,0,0,0,0,0,0
STJ,NPA,60418,314,329,61,70,511,253,202,148,256,160,230,84
STJ,PSL,27,0,0,0,0,0,0,0,0,0,0,0,0
STJ,REP,144365,527,508,185,180,1462,718,457,339,242,179,262,152
STL,AMF,409,19,10,1,0,17,15,10,7,26,24,5,7
STL,ASP,186,3,2,0,0,2,1,1,0,2,1,0,0
STL,BPP,322,7,1,0,0,5,6,3,2,7,3,2,0
STL,CPF,547,3,3,0,0,1,14,1,1,2,0,0,0
STL,CPP,217,2,4,0,0,7,4,5,1,12,5,7,2
STL,CSV,1099,2,2,0,1,13,32,11,6,11,6,2,2
STL,DEM,95223,215,215,146,149,571,959,380,201,175,106,152,54
STL,ECO,104,2,1,0,0,2,4,2,2,0,3,0,1
STL,FFP,45,4,0,0,0,0,1,0,0,2,1,1,0
STL,GRE,200,0,2,0,0,3,7,3,2,1,3,0,1
STL,IND,7588,36,28,6,10,85,149,58,34,109,73,26,10
STL,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
STL,LPF,564,3,2,0,0,5,11,4,2,5,6,0,2
STL,MGT,2,0,0,0,0,0,0,0,0,0,0,0,0
STL,NPA,73167,231,180,91,94,430,956,307,186,190,135,109,43
STL,PSL,32,0,0,0,0,0,0,0,0,0,0,0,0
STL,REP,103437,353,312,162,191,700,1512,459,334,193,157,141,65
SUM,AMF,147,7,8,0,0,4,3,1,2,8,6,2,3
SUM,ASP,37,2,0,0,0,0,0,0,0,0,0,0,2
SUM,BPP,54,2,0,0,0,0,0,0,0,1,0,0,2
SUM,CPF,103,1,1,1,2,3,0,0,0,0,0,0,4
SUM,CPP,57,0,3,0,1,0,1,0,0,1,1,0,2
SUM,CSV,380,6,3,1,2,10,5,4,4,3,4,0,18
SUM,DEM,26457,124,132,140,187,256,138,131,85,85,88,50,378
SUM,ECO,29,2,0,1,1,0,0,0,0,0,0,0,0
SUM,FFP,18,0,1,0,0,0,1,0,1,2,1,0,1
SUM,GRE,48,1,0,1,0,0,1,0,1,0,1,0,3
SUM,IND,2994,26,31,11,17,61,40,31,29,86,67,6,40
SUM,LPF,244,3,4,0,0,4,1,2,0,0,1,0,2
SUM,NPA,27896,124,189,105,156,256,132,130,89,111,88,56,396
SUM,PSL,8,0,0,0,0,0,0,0,0,0,0,0,1
SUM,REP,82651,433,481,332,437,802,378,360,230,144,112,108,1017
SUW,AMF,61,6,5,0,0,2,2,1,1,1,5,1,0
SUW,ASP,24,0,0,0,0,0,0,0,0,1,1,0,0
SUW,BPP,11,0,1,0,0,0,0,0,0,0,0,0,0
SUW,CPF,76,0,0,0,0,0,0,0,0,1,0,0,0
SUW,CPP,29,0,2,0,0,0,0,0,0,2,0,0,0
SUW,CSV,131,0,1,2,0,3,1,2,1,3,1,1,1
SUW,DEM,6778,16,15,23,14,66,14,25,11,9,14,37,11
SUW,ECO,9,0,0,0,0,0,0,0,0,0,0,0,0
SUW,FFP,8,0,0,0,0,0,0,0,0,0,1,0,0
SUW,GRE,19,0,0,0,0,2,0,1,0,1,0,0,0
SUW,IND,571,6,4,1,1,8,8,4,4,8,14,8,2
SUW,LPF,102,1,0,0,0,1,0,1,0,0,0,2,0
SUW,NPA,4910,15,9,7,8,61,22,21,19,17,6,46,5
SUW,PSL,4,0,0,0,0,0,0,0,0,0,0,0,0
SUW,REP,18849,50,30,38,36,214,70,66,50,39,33,45,16
TAY,AMF,38,3,1,1,0,4,0,4,0,6,2,1,0
TAY,ASP,11,0,0,0,0,0,0,0,0,0,0,0,0
TAY,BPP,6,1,0,0,0,0,0,0,0,0,0,0,0
TAY,CPF,37,0,1,0,0,0,0,0,0,0,0,0,0
TAY,CPP,11,0,0,0,0,0,0,0,0,1,1,2,2
TAY,CSV,51,0,0,0,0,1,1,1,1,2,1,2,1
TAY,DEM,3726,10,7,8,7,15,4,12,2,5,5,28,5
TAY,ECO,5,0,0,0,0,0,0,0,0,0,0,0,0
TAY,FFP,1,0,0,0,0,0,0,0,0,0,0,0,0
TAY,GRE,4,0,0,0,0,0,0,0,0,0,0,0,0
TAY,IND,145,0,0,0,0,3,0,3,0,0,0,5,1
TAY,LPF,24,0,0,0,0,0,0,0,0,0,0,0,0
TAY,NPA,1481,4,7,1,1,5,1,4,1,5,1,20,1
TAY,PSL,1,1,0,0,0,0,0,0,0,0,0,0,0
TAY,REP,8281,20,22,17,12,30,26,19,19,7,8,54,13
UNI,AMF,4,0,0,0,0,1,0,0,0,2,0,0,0
UNI,CPF,10,0,0,0,0,0,0,0,0,0,0,0,0
UNI,CPP,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI,CSV,13,0,0,0,0,0,0,0,0,0,0,0,0
UNI,DEM,1748,0,2,2,7,3,0,3,0,2,1,7,1
UNI,ECO,1,0,0,0,0,0,0,0,0,0,0,0,0
UNI,GRE,6,0,0,0,0,0,0,0,0,0,0,0,0
UNI,IND,111,0,0,0,1,0,0,0,0,0,3,1,0
UNI,LPF,25,0,0,0,0,0,0,0,0,0,0,0,0
UNI,NPA,838,1,1,1,0,5,1,5,1,2,0,10,0
UNI,PSL,2,0,0,0,0,0,0,0,0,0,0,0,0
UNI,REP,5198,8,1,10,3,17,15,17,12,6,4,8,1
VOL,AMF,647,38,33,0,2,17,26,6,13,54,50,16,8
VOL,ASP,261,2,3,0,0,6,7,3,1,10,4,4,1
VOL,BPP,723,8,11,0,0,18,17,12,3,23,17,3,5
VOL,CPF,656,4,1,1,1,5,13,2,2,3,1,2,1
VOL,CPP,285,4,6,1,0,7,6,4,2,14,7,2,3
VOL,CSV,1498,8,6,0,3,13,21,8,3,12,11,4,0
VOL,DEM,125683,309,290,276,194,3151,1266,426,200,278,194,532,99
VOL,ECO,188,2,2,1,1,3,3,1,1,0,6,1,2
VOL,FFP,56,1,2,0,0,0,2,0,2,0,5,1,1
VOL,GRE,359,4,3,0,1,6,7,0,1,2,0,0,0
VOL,IND,12093,55,45,14,15,167,206,73,43,192,153,53,25
VOL,JEF,3,0,0,0,0,0,0,0,0,0,0,0,0
VOL,LPF,1498,9,4,1,1,22,16,10,1,4,4,4,1
VOL,MGT,4,1,0,0,0,0,0,0,0,0,0,0,0
VOL,NPA,127357,375,343,171,163,2484,1263,465,184,334,264,546,98
VOL,PSL,70,1,0,0,0,0,0,0,0,0,1,0,0
VOL,REP,188574,551,544,335,240,3971,1849,666,323,418,355,338,104
VOL,WPF,3,0,0,0,0,1,1,0,1,0,3,0,0
WAK,AMF,71,1,5,0,0,1,1,1,1,5,3,1,0
