extract_month,county_code,party_affiliation,voter_status,voter_count
2026-03,GAD,IND,INA,44
2026-03,GAD,LPF,ACT,48
2026-03,GAD,LPF,INA,10
2026-03,GAD,NPA,ACT,2819
2026-03,GAD,NPA,INA,885
2026-03,GAD,PSL,ACT,2
2026-03,GAD,REP,ACT,5867
2026-03,GAD,REP,INA,591
2026-03,GIL,AMF,ACT,12
2026-03,GIL,ASP,ACT,10
2026-03,GIL,ASP,INA,1
2026-03,GIL,BPP,ACT,4
2026-03,GIL,CPF,ACT,28
2026-03,GIL,CPP,ACT,6
2026-03,GIL,CSV,ACT,48
2026-03,GIL,DEM,ACT,1736
2026-03,GIL,DEM,INA,226
2026-03,GIL,ECO,ACT,5
2026-03,GIL,FFP,ACT,2
2026-03,GIL,GRE,ACT,8
2026-03,GIL,GRE,INA,1
2026-03,GIL,IND,ACT,303
2026-03,GIL,IND,INA,20
2026-03,GIL,JEF,ACT,1
2026-03,GIL,LPF,ACT,44
2026-03,GIL,LPF,INA,8
2026-03,GIL,NPA,ACT,1553
2026-03,GIL,NPA,INA,346
2026-03,GIL,PSL,INA,1
2026-03,GIL,REP,ACT,8987
2026-03,GIL,REP,INA,518
2026-03,GLA,AMF,ACT,12
2026-03,GLA,ASP,ACT,7
2026-03,GLA,BPP,ACT,1
2026-03,GLA,CPF,ACT,13
2026-03,GLA,CPP,ACT,7
2026-03,GLA,CSV,ACT,19
2026-03,GLA,DEM,ACT,1412
2026-03,GLA,DEM,INA,456
2026-03,GLA,ECO,ACT,1
2026-03,GLA,FFP,ACT,1
2026-03,GLA,GRE,ACT,4
2026-03,GLA,GRE,INA,1
2026-03,GLA,IND,ACT,131
2026-03,GLA,IND,INA,20
2026-03,GLA,LPF,ACT,12
2026-03,GLA,LPF,INA,5
2026-03,GLA,NPA,ACT,1080
2026-03,GLA,NPA,INA,419
2026-03,GLA,PSL,ACT,1
2026-03,GLA,REP,ACT,4014
2026-03,GLA,REP,INA,446
2026-03,GUL,AMF,ACT,13
2026-03,GUL,ASP,ACT,5
2026-03,GUL,BPP,ACT,2
2026-03,GUL,CPF,ACT,22
2026-03,GUL,CPP,ACT,7
2026-03,GUL,CSV,ACT,46
2026-03,GUL,DEM,ACT,2316
2026-03,GUL,DEM,INA,260
2026-03,GUL,ECO,ACT,4
2026-03,GUL,ECO,INA,1
2026-03,GUL,GRE,ACT,5
2026-03,GUL,GRE,INA,1
2026-03,GUL,IND,ACT,240
2026-03,GUL,IND,INA,21
2026-03,GUL,LPF,ACT,30
2026-03,GUL,LPF,INA,5
2026-03,GUL,NPA,ACT,1300
2026-03,GUL,NPA,INA,304
2026-03,GUL,PSL,ACT,1
2026-03,GUL,PSL,INA,1
2026-03,GUL,REP,ACT,7100
2026-03,GUL,REP,INA,442
2026-03,HAM,AMF,ACT,22
2026-03,HAM,ASP,ACT,8
2026-03,HAM,BPP,ACT,1
2026-03,HAM,CPF,ACT,14
2026-03,HAM,CPF,INA,5
2026-03,HAM,CPP,ACT,3
2026-03,HAM,CSV,ACT,38
2026-03,HAM,DEM,ACT,2322
2026-03,HAM,DEM,INA,644
2026-03,HAM,FFP,ACT,1
2026-03,HAM,GRE,ACT,6
2026-03,HAM,GRE,INA,1
2026-03,HAM,IND,ACT,96
2026-03,HAM,IND,INA,29
2026-03,HAM,LPF,ACT,12
2026-03,HAM,LPF,INA,3
2026-03,HAM,NPA,ACT,805
2026-03,HAM,NPA,INA,372
2026-03,HAM,PSL,ACT,3
2026-03,HAM,REP,ACT,3635
2026-03,HAM,REP,INA,388
2026-03,HAR,AMF,ACT,33
2026-03,HAR,ASP,ACT,13
2026-03,HAR,BPP,ACT,11
2026-03,HAR,CPF,ACT,36
2026-03,HAR,CPP,ACT,10
2026-03,HAR,CSV,ACT,78
2026-03,HAR,DEM,ACT,2747
2026-03,HAR,DEM,INA,477
2026-03,HAR,FFP,ACT,5
2026-03,HAR,GRE,ACT,8
2026-03,HAR,IND,ACT,151
2026-03,HAR,IND,INA,4
2026-03,HAR,LPF,ACT,30
2026-03,HAR,LPF,INA,2
2026-03,HAR,NPA,ACT,2235
2026-03,HAR,NPA,INA,418
2026-03,HAR,PSL,ACT,3
2026-03,HAR,REP,ACT,6855
2026-03,HAR,REP,INA,401
2026-03,HEN,AMF,ACT,31
2026-03,HEN,ASP,ACT,26
2026-03,HEN,BPP,ACT,18
2026-03,HEN,CPF,ACT,24
2026-03,HEN,CPF,INA,2
2026-03,HEN,CPP,ACT,17
2026-03,HEN,CSV,ACT,70
2026-03,HEN,DEM,ACT,5385
2026-03,HEN,DEM,INA,1991
2026-03,HEN,ECO,ACT,9
2026-03,HEN,FFP,ACT,4
2026-03,HEN,GRE,ACT,11
2026-03,HEN,GRE,INA,2
2026-03,HEN,IND,ACT,270
2026-03,HEN,IND,INA,52
2026-03,HEN,LPF,ACT,37
2026-03,HEN,LPF,INA,9
2026-03,HEN,NPA,ACT,3542
2026-03,HEN,NPA,INA,1621
2026-03,HEN,PSL,ACT,4
2026-03,HEN,PSL,INA,1
2026-03,HEN,REP,ACT,9327
2026-03,HEN,REP,INA,1234
2026-03,HEN,RFM,ACT,2
2026-03,HER,AMF,ACT,192
2026-03,HER,AMF,INA,3
2026-03,HER,ASP,ACT,91
2026-03,HER,ASP,INA,1
2026-03,HER,BPP,ACT,193
2026-03,HER,BPP,INA,11
2026-03,HER,CPF,ACT,231
2026-03,HER,CPF,INA,29
2026-03,HER,CPP,ACT,82
2026-03,HER,CPP,INA,3
2026-03,HER,CSV,ACT,590
2026-03,HER,CSV,INA,13
2026-03,HER,DEM,ACT,30178
2026-03,HER,DEM,INA,8506
2026-03,HER,ECO,ACT,35
2026-03,HER,ECO,INA,2
2026-03,HER,FFP,ACT,23
2026-03,HER,FFP,INA,1
2026-03,HER,GRE,ACT,91
2026-03,HER,GRE,INA,30
2026-03,HER,IND,ACT,3587
2026-03,HER,IND,INA,613
2026-03,HER,JEF,ACT,1
2026-03,HER,LPF,ACT,344
2026-03,HER,LPF,INA,93
2026-03,HER,NPA,ACT,29540
2026-03,HER,NPA,INA,11597
2026-03,HER,PSL,ACT,20
2026-03,HER,PSL,INA,5
2026-03,HER,REP,ACT,69387
2026-03,HER,REP,INA,9593
2026-03,HER,RFM,ACT,8
2026-03,HIG,AMF,ACT,100
2026-03,HIG,AMF,INA,1
2026-03,HIG,ASP,ACT,63
2026-03,HIG,ASP,INA,3
2026-03,HIG,BPP,ACT,142
2026-03,HIG,BPP,INA,3
2026-03,HIG,CPF,ACT,131
2026-03,HIG,CPF,INA,14
2026-03,HIG,CPP,ACT,43
2026-03,HIG,CPP,INA,5
2026-03,HIG,CSV,ACT,366
2026-03,HIG,CSV,INA,6
