county_code,party_affiliation,age_band,voter_count
BAY,BPP,35-44,27
BAY,BPP,45-54,9
BAY,BPP,55-64,8
BAY,BPP,65-74,1
BAY,BPP,75+,1
BAY,CPF,18-24,54
BAY,CPF,25-34,73
BAY,CPF,35-44,70
BAY,CPF,45-54,57
BAY,CPF,55-64,40
BAY,CPF,65-74,22
BAY,CPF,75+,5
BAY,CPF,unknown,1
BAY,CPP,18-24,17
BAY,CPP,25-34,38
BAY,CPP,35-44,34
BAY,CPP,45-54,15
BAY,CPP,55-64,18
BAY,CPP,65-74,16
BAY,CPP,75+,4
BAY,CSV,18-24,101
BAY,CSV,25-34,174
BAY,CSV,35-44,148
BAY,CSV,45-54,129
BAY,CSV,55-64,112
BAY,CSV,65-74,70
BAY,CSV,75+,21
BAY,CSV,unknown,4
BAY,DEM,18-24,1890
BAY,DEM,25-34,4683
BAY,DEM,35-44,4611
BAY,DEM,45-54,3724
BAY,DEM,55-64,4308
BAY,DEM,65-74,4889
BAY,DEM,75+,4105
BAY,DEM,unknown,76
BAY,ECO,18-24,11
BAY,ECO,25-34,19
BAY,ECO,35-44,15
BAY,ECO,45-54,8
BAY,ECO,55-64,7
BAY,ECO,65-74,6
BAY,ECO,75+,1
BAY,FFP,18-24,9
BAY,FFP,25-34,11
BAY,FFP,35-44,3
BAY,GRE,18-24,40
BAY,GRE,25-34,55
BAY,GRE,35-44,36
BAY,GRE,45-54,16
BAY,GRE,55-64,14
BAY,GRE,65-74,5
BAY,GRE,75+,5
BAY,IND,18-24,399
BAY,IND,25-34,684
BAY,IND,35-44,551
BAY,IND,45-54,475
BAY,IND,55-64,481
BAY,IND,65-74,374
BAY,IND,75+,199
BAY,IND,unknown,5
BAY,JEF,25-34,1
BAY,LPF,18-24,28
BAY,LPF,25-34,209
BAY,LPF,35-44,230
BAY,LPF,45-54,117
BAY,LPF,55-64,60
BAY,LPF,65-74,41
BAY,LPF,75+,15
BAY,LPF,unknown,1
BAY,MGT,25-34,2
BAY,NPA,18-24,2729
BAY,NPA,25-34,6611
BAY,NPA,35-44,6782
BAY,NPA,45-54,4976
BAY,NPA,55-64,4396
BAY,NPA,65-74,3406
BAY,NPA,75+,1906
BAY,NPA,unknown,88
BAY,PSL,18-24,11
BAY,PSL,25-34,13
BAY,PSL,35-44,3
BAY,PSL,45-54,1
BAY,PSL,55-64,1
BAY,PSL,65-74,1
BAY,REP,18-24,4917
BAY,REP,25-34,10779
BAY,REP,35-44,11682
BAY,REP,45-54,12021
BAY,REP,55-64,16358
BAY,REP,65-74,15445
BAY,REP,75+,10982
BAY,REP,unknown,379
BRA,AMF,18-24,10
BRA,AMF,25-34,14
BRA,AMF,35-44,11
BRA,AMF,45-54,8
BRA,AMF,55-64,2
BRA,AMF,65-74,7
BRA,ASP,18-24,3
BRA,ASP,25-34,4
BRA,ASP,35-44,4
BRA,ASP,45-54,2
BRA,ASP,55-64,1
BRA,ASP,65-74,1
BRA,BPP,25-34,2
BRA,BPP,35-44,1
BRA,BPP,45-54,1
BRA,CPF,18-24,9
BRA,CPF,25-34,8
BRA,CPF,35-44,9
BRA,CPF,45-54,6
BRA,CPF,55-64,4
BRA,CPF,65-74,1
BRA,CPP,18-24,1
BRA,CPP,25-34,2
BRA,CPP,35-44,4
BRA,CPP,45-54,2
BRA,CPP,55-64,1
BRA,CPP,65-74,3
BRA,CSV,18-24,18
BRA,CSV,25-34,16
BRA,CSV,35-44,9
BRA,CSV,45-54,13
BRA,CSV,55-64,13
BRA,CSV,65-74,9
BRA,CSV,75+,3
BRA,DEM,18-24,240
BRA,DEM,25-34,513
BRA,DEM,35-44,538
BRA,DEM,45-54,590
BRA,DEM,55-64,710
BRA,DEM,65-74,947
BRA,DEM,75+,865
BRA,DEM,unknown,9
BRA,ECO,35-44,1
BRA,ECO,45-54,1
BRA,ECO,55-64,1
BRA,FFP,25-34,2
BRA,FFP,35-44,3
BRA,FFP,55-64,1
BRA,GRE,25-34,4
BRA,GRE,35-44,1
BRA,GRE,55-64,1
BRA,GRE,75+,1
BRA,IND,18-24,34
BRA,IND,25-34,61
BRA,IND,35-44,46
BRA,IND,45-54,43
BRA,IND,55-64,33
BRA,IND,65-74,36
BRA,IND,75+,19
BRA,LPF,18-24,5
BRA,LPF,25-34,14
BRA,LPF,35-44,20
BRA,LPF,45-54,11
BRA,LPF,55-64,8
BRA,LPF,65-74,9
BRA,LPF,75+,1
BRA,NPA,18-24,273
BRA,NPA,25-34,655
BRA,NPA,35-44,534
BRA,NPA,45-54,456
BRA,NPA,55-64,407
BRA,NPA,65-74,302
BRA,NPA,75+,180
BRA,NPA,unknown,6
BRA,REP,18-24,846
BRA,REP,25-34,1708
BRA,REP,35-44,1745
BRA,REP,45-54,1633
BRA,REP,55-64,2084
BRA,REP,65-74,1986
BRA,REP,75+,1682
BRA,REP,unknown,59
BRE,AMF,18-24,79
BRE,AMF,25-34,100
BRE,AMF,35-44,63
BRE,AMF,45-54,50
