extract_month,zip_code,party_affiliation,voter_count
2026-03,32114,NPA,5875
2026-03,32114,REP,4570
2026-03,32117,AMF,43
2026-03,32117,ASP,27
2026-03,32117,BPP,30
2026-03,32117,CPF,49
2026-03,32117,CPP,22
2026-03,32117,CSV,79
2026-03,32117,DEM,7893
2026-03,32117,GRE,19
2026-03,32117,IND,607
2026-03,32117,LPF,58
2026-03,32117,NPA,5858
2026-03,32117,REP,6101
2026-03,32118,CPF,27
2026-03,32118,CPP,11
2026-03,32118,CSV,56
2026-03,32118,DEM,3504
2026-03,32118,GRE,12
2026-03,32118,IND,450
2026-03,32118,LPF,52
2026-03,32118,NPA,4012
2026-03,32118,REP,6640
2026-03,32119,AMF,21
2026-03,32119,BPP,13
2026-03,32119,CPF,46
2026-03,32119,CPP,12
2026-03,32119,CSV,67
2026-03,32119,DEM,4656
2026-03,32119,GRE,15
2026-03,32119,IND,522
2026-03,32119,LPF,61
2026-03,32119,NPA,4591
2026-03,32119,REP,6681
2026-03,32124,CPF,18
2026-03,32124,CSV,48
2026-03,32124,DEM,2552
2026-03,32124,IND,445
2026-03,32124,LPF,37
2026-03,32124,NPA,2660
2026-03,32124,REP,5735
2026-03,32127,AMF,20
2026-03,32127,ASP,15
2026-03,32127,CPF,30
2026-03,32127,CPP,14
2026-03,32127,CSV,80
2026-03,32127,DEM,5426
2026-03,32127,ECO,10
2026-03,32127,GRE,20
2026-03,32127,IND,607
2026-03,32127,LPF,76
2026-03,32127,NPA,6281
2026-03,32127,REP,10907
2026-03,32128,AMF,10
2026-03,32128,CPF,19
2026-03,32128,CSV,36
2026-03,32128,DEM,3714
2026-03,32128,GRE,14
2026-03,32128,IND,462
2026-03,32128,LPF,53
2026-03,32128,NPA,4615
2026-03,32128,REP,8759
2026-03,32129,AMF,31
2026-03,32129,BPP,20
2026-03,32129,CPF,19
2026-03,32129,CPP,12
2026-03,32129,CSV,69
2026-03,32129,DEM,4339
2026-03,32129,ECO,11
2026-03,32129,GRE,14
2026-03,32129,IND,508
2026-03,32129,LPF,59
2026-03,32129,NPA,4689
2026-03,32129,REP,7154
2026-03,32130,DEM,823
2026-03,32130,IND,71
2026-03,32130,NPA,1013
2026-03,32130,REP,1827
2026-03,32131,DEM,739
2026-03,32131,IND,45
2026-03,32131,NPA,488
2026-03,32131,REP,1802
2026-03,32132,CPF,11
2026-03,32132,CSV,30
2026-03,32132,DEM,1374
2026-03,32132,IND,178
2026-03,32132,LPF,21
2026-03,32132,NPA,1624
2026-03,32132,REP,2642
2026-03,32133,DEM,13
2026-03,32133,REP,15
2026-03,32134,CPF,14
2026-03,32134,CSV,25
2026-03,32134,DEM,955
2026-03,32134,IND,146
2026-03,32134,LPF,30
2026-03,32134,NPA,1273
2026-03,32134,REP,3881
2026-03,32136,CSV,35
2026-03,32136,DEM,1615
2026-03,32136,IND,178
2026-03,32136,LPF,26
2026-03,32136,NPA,1660
2026-03,32136,REP,4109
2026-03,321364311,REP,11
2026-03,32137,AMF,69
2026-03,32137,ASP,17
2026-03,32137,BPP,45
2026-03,32137,CPF,74
2026-03,32137,CPP,27
2026-03,32137,CSV,233
